t;s1;s2;s3;phi;ins;
1603541164.044114;191.5;84.9;19.2;5.791762400774928;0;0;
1603541164.2696424;192.8;84.1;18.8;2.8475914002556237;0;0;
1603541164.494845;190.2;84.5;18.8;12.936090712730106;0;0;
1603541164.7212243;192.0;85.8;19.2;20.416095172618554;0;0;
1603541164.9477658;190.2;85.8;19.3;357.3854383319157;0;0;
1603541165.1743867;191.5;86.2;19.3;13.308312443454781;0;0;
1603541165.4004393;192.8;85.8;19.2;8.828537634535564;0;0;
1603541165.6256192;191.5;85.7;19.3;21.154110055255046;0;0;
1603541165.8519204;191.1;85.0;19.2;357.8437061538866;0;0;
1603541166.07862;191.5;84.6;19.3;1.526881726529723;0;0;
1603541166.3045578;193.6;84.1;19.2;6.1313508083839565;0;0;
1603541166.530527;191.1;84.5;19.3;9.514712919840747;0;0;
1603541166.7579987;190.2;83.7;19.3;1.9847077311536054;0;0;
1603541166.9839008;191.1;85.8;19.3;5.020388657502167;0;0;
1603541167.20916;190.6;83.7;19.2;10.86058210927655;1024;1024;
1603541167.4360776;190.8;85.0;19.3;6.407322016253204;1024;1024;
1603541167.6617098;195.6;92.1;20.3;359.2289137392655;1024;1024;
1603541167.8876576;179.5;94.1;20.0;357.9983441704344;1024;1024;
1603541168.1139634;171.0;98.0;20.2;355.8546768559913;1024;1024;
1603541168.3410456;162.3;96.8;19.7;334.93274365295093;1024;1024;
1603541168.5671954;154.3;97.1;20.5;310.1205967406472;1024;1024;
1603541168.7943132;146.0;99.0;21.3;288.487819303833;1024;1024;
1603541169.021025;138.8;97.8;21.3;270.94255866988453;1024;1024;
1603541169.2471883;129.8;98.8;21.7;255.21669199365215;1024;1024;
1603541169.4613903;121.6;137.5;22.6;235.20051369734207;1024;1024;
1603541169.6749444;117.6;101.7;22.3;230.226829510568;1024;1024;
1603541169.8894835;109.5;231.9;23.3;215.34465170321172;1024;1024;
1603541170.1032891;101.3;240.1;23.8;203.18408710233024;1024;1024;
