t;s1;s2;s3;ins;
1595697260.3188202;81.9;17.2;11.9;2;
1595697260.431755;82.8;17.2;11.9;2;
1595697260.544173;89.5;17.6;12.2;2;
1595697260.6562169;81.5;17.2;12.3;2;
1595697260.768156;82.2;17.6;12.3;2;
1595697260.8796258;81.5;17.2;12.3;2;
1595697260.9913678;81.5;17.6;11.9;2;
1595697261.103924;81.9;17.6;12.3;2;
1595697261.132593;81.5;17.6;11.9;2;
1595697261.2457232;82.8;17.2;11.9;2;
1595697261.3599353;82.3;17.2;12.3;2;
1595697261.4737527;82.4;17.2;11.9;2;
1595697261.5841517;82.8;17.6;12.2;2;
1595697261.7009048;82.0;17.6;12.3;2;
1595697261.8145175;81.5;17.6;12.2;2;
1595697261.9273825;82.0;17.2;12.2;2;
1595697262.0456822;81.5;17.2;11.9;2;
1595697262.1573207;82.0;17.2;12.2;2;
1595697262.268777;81.5;17.2;11.8;2;
1595697262.385528;81.5;17.3;12.2;2;
1595697262.493216;81.6;17.3;12.2;2;
1595697262.6054788;82.8;17.2;12.3;2;
1595697262.7184992;82.4;17.2;11.8;2;
1595697262.829487;82.8;17.7;11.8;2;
1595697262.9422755;81.1;17.2;11.8;2;
1595697263.056163;82.0;17.2;11.9;2;
1595697263.1722016;82.3;17.2;11.9;2;
1595697263.2838268;83.7;16.9;12.6;2;
1595697263.395774;84.8;16.9;12.9;2;
1595697263.514148;88.9;16.6;12.4;2;
1595697263.6240313;77.7;17.2;11.9;2;
1595697263.7388532;77.3;17.3;12.2;2;
1595697263.8480802;75.4;17.3;12.3;2;
1595697263.9580393;73.9;17.4;12.2;2;
1595697264.069045;72.1;17.0;12.1;2;
1595697264.1849668;71.3;17.0;12.2;2;
1595697264.2978551;71.4;14.2;12.2;2;
1595697264.4088979;68.9;16.6;12.5;2;
1595697264.519438;68.4;16.0;12.1;2;
1595697264.6300852;66.9;15.8;12.1;2;
1595697264.7411835;65.2;22.3;11.8;2;
1595697264.8511262;64.1;16.9;12.2;2;
1595697264.9614758;61.2;16.9;12.2;2;
1595697265.0725482;61.0;16.8;11.9;2;
1595697265.1841054;87.4;16.8;12.3;2;
1595697265.2944655;59.5;16.7;12.4;2;
1595697265.4140563;56.7;16.6;12.9;2;
1595697265.524309;56.4;16.8;12.9;2;
1595697265.6365952;54.4;17.2;12.3;2;
1595697265.7449162;53.6;16.9;11.8;2;
1595697265.8559499;75.9;15.8;12.2;2;
1595697265.9666135;49.4;16.7;6.7;2;
1595697266.0786424;71.1;16.7;12.5;2;
1595697266.1896698;69.3;16.5;12.5;2;
1595697266.2988706;39.1;16.7;12.5;2;
1595697266.4101524;65.9;15.8;12.6;2;
1595697266.5205069;64.9;15.7;12.2;2;
1595697266.6311028;63.4;17.3;12.3;2;
1595697266.7459636;61.9;17.2;11.9;2;
1595697266.8585024;60.2;16.8;12.4;2;
1595697266.97105;59.1;16.3;12.9;2;
1595697267.0795584;57.3;15.9;12.9;2;
1595697267.1893342;56.3;15.8;12.6;2;
1595697267.2996457;54.6;26.6;12.2;2;
1595697267.4094083;53.6;16.1;12.7;2;
1595697267.5192156;52.7;16.4;12.8;2;
1595697267.629911;51.1;16.3;13.3;2;
1595697267.7490137;48.9;16.2;13.1;2;
1595697267.8584428;47.1;16.2;13.1;2;
1595697267.9713233;46.0;16.1;13.1;2;
1595697268.086368;44.4;15.6;11.6;2;
1595697268.2397814;41.8;15.7;13.2;2;
1595697268.348933;41.3;16.0;13.2;2;
1595697268.4580452;41.5;15.9;13.3;2;
1595697268.5673084;40.4;15.5;13.8;2;
1595697268.6763442;39.5;15.4;13.9;2;
1595697268.7950873;38.1;15.8;13.4;2;
1595697268.8127165;38.0;15.4;13.9;2;
1595697268.9232442;38.0;14.9;13.5;2;
1595697268.947584;37.6;15.4;13.8;2;
1595697269.0567164;38.2;15.5;13.7;2;
1595697269.1659443;37.8;15.6;13.2;2;
1595697269.2746081;38.2;16.0;13.2;2;
1595697269.384745;38.2;16.0;13.2;2;
1595697269.4962935;38.2;16.0;13.2;2;
1595697269.6094584;38.2;16.0;13.6;2;
1595697269.7246614;37.8;16.0;13.2;2;
1595697269.8336928;37.8;16.0;13.2;2;
1595697269.9423013;37.8;16.0;13.2;2;
1595697270.0511975;38.2;16.0;13.2;2;
1595697270.1614997;37.8;16.0;13.2;2;
1595697270.2712817;38.2;15.6;13.2;2;
1595697270.3802195;38.2;15.6;13.2;2;
1595697270.4891546;37.8;16.0;13.2;2;
1595697270.5984669;38.2;15.6;13.2;2;
1595697270.7082007;38.2;15.6;13.2;2;
1595697270.8177404;38.2;16.0;13.2;2;
1595697270.9280436;37.8;15.6;13.2;2;
